|#|From note|Events|
|-|-|-|
|1|С утра в понедельник|Хорошее настроение|
|2|было совещание|Совещание|
|3|я закончу пораньше где-то в 16:00|Работа закончилась пораньше|
|4|начал играть видео игры|Игра|
|5|играл и до самой ночи|Игра|
|6|настроение было ужасное|Плохое настроение|
|7|во вторник я снова поехал с утра на работу|Работа|
|8|познакомился с новой коллегой|Знакомство|
|9|настроение у меня улучшилось|Хорошее настроение|
|10|работает 18:00|Работа закончилась|
|11|поехал на свидание с Кристиной|Свидание|
|12|выпили в ресторане алкоголь|Алкоголь|
|13|лёг спать|Сон|
|14|в среду у меня было ужасное похмелье|Плохое настроение|
|15|сказал начальству что я заболел|Болезнь|
|16|не пошёл на работу весь день|Отсутствие на работе|
|17|смотрел YouTube|YouTube|
|18|настроение немного улучшилось|Улучшение настроения|
|19|четверг было хорошее настроение утром|Хорошее настроение|
|20|вечером было нормально|Нормальное настроение|
|21|в пятницу с утра я поехал на работу|Работа|
|22|вечером мы встретились с коллегами и пошли в бар|Встреча с коллегами|
|23|очень сильно напился|Алкоголь|
|24|разболелась голова|Плохое самочувствие|
|25|лёг поздно|Поздний сон|
|26|в субботу я проснулся и чувствовал снова похмелья|Плохое настроение|
|27|смотрел тик токи|Тик Ток|
|28|воскресенье с утра было уже отличное настроение|Хорошее настроение|
|29|убрался по квартире|Уборка|
|30|приготовил себе курицу|Приготовление еды|
