|#|From note|Events|
|-|-|-|
|1|С утра в понедельник|Хорошее настроение|
|2|было совещание|Совещание|
|3|я чувствую одиночество|Одиночество|
|4|закончу пораньше где-то в 16:00|Работа|
|5|начал играть видео игры|Игры|
|6|играл и до самой ночи|Игры|
|7|настроение было ужасное|Настроение|
|8|во вторник|Работа|
|9|познакомился с новой коллегой|Знакомство|
|10|настроение улучшилось|Настроение|
|11|работает 18:00|Работа|
|12|поехал на свидание с Кристиной|Свидание|
|13|выпили в ресторане алкоголь|Алкоголь|
|14|лёг спать|Сон|
|15|в среду|Работа|
|16|было ужасное похмелье|Похмелье|
|17|сказал начальству что я заболел|Болезнь|
|18|не пошёл на работу|Работа|
|19|лежал и смотрел YouTube|YouTube|
|20|настроение немного улучшилось|Настроение|
|21|четверг было хорошее настроение|Хорошее настроение|
|22|утром вечером было нормально|Нормальное настроение|
|23|в пятницу|Работа|
|24|встретились с коллегами и пошли в бар|Бар|
|25|очень сильно напился|Алкоголь|
|26|разболелась голова|Боль|
|27|лёг поздно|Сон|
|28|в субботу|Работа|
|29|чувствовал снова похмелья|Похмелье|
|30|смотрел тик токи|Тик Ток|
|31|воскресенье с утра было уже отличное настроение|Отличное настроение|
|32|убрался по квартире приготовил себе курицу|Домашние дела|
